	Cmb_Num	Cmb_ID	CC_A	CC_B	Cmb_Rare	Res	Res_Rare	BA_0O	BA_1O	BA_2O	BD_0O	BD_1O	BD_2O
	7,035	1,038	Adventure	Fish	3	Submerged Shrine	3	9	12	14	7	10	12
	7,036	1,039	Adventure	Food	3	Adopted Monster	3	11	14	16	6	9	11
	7,037	1,04	Adventure	Future Fight	3	Perilous Psychic	4	18	18	21	8	8	11
	7,038	1,041	Adventure	Galaxy Wars	3	Planar Privateer	3	19	22	24	1	4	6
	7,039	1,042	Adventure	Giant	3	Bear Owl	4	14	14	17	10	10	13
	7,04	1,043	Adventure	Golem	3	Familiar Companions	3	3	6	8	15	18	20
	7,041	1,044	Adventure	Halloween	3	Trick or Treater	4	16	16	19	8	8	11
	7,042	1,045	Adventure	Hammer	3	Loot Hoarder	4	18	18	21	6	6	9
	7,043	1,046	Adventure	Healing	3	Cleric	3	6	9	11	11	14	16
	7,044	1,047	Adventure	Holidays	3	Stone Hearth	4	3	3	6	20	20	23
	7,045	1,048	Adventure	Holy Water	3	Loot Hoarder	4	18	18	21	6	6	9
	7,046	1,049	Adventure	Hopefulness	3	Adopted Monster	3	11	14	16	6	9	11
	7,047	1,05	Adventure	Horn	3	Adopted Monster	3	11	14	16	6	9	11
	7,048	1,051	Adventure	Horse	3	Familiar Companions	3	3	6	8	15	18	20
	7,049	1,052	Adventure	Human	3	The Party	4	3	3	6	19	19	22
	7,05	1,053	Adventure	Hybrid	3	Bear Owl	4	14	14	17	10	10	13
	7,051	1,054	Adventure	Ice	3	Frost Dragon	4	15	15	18	10	10	13
	7,052	1,055	Adventure	Immortality	3	Draconic Deity	4	19	19	22	7	7	10
	7,053	1,056	Adventure	Insect	3	Nightmarish Swarms	3	14	17	19	5	8	10
	7,054	1,057	Adventure	Invention	3	Arcanomancer	4	16	16	19	7	7	10
	7,055	1,058	Adventure	Knight	3	The Party	4	3	3	6	19	19	22
	7,056	1,059	Adventure	Knowledge	3	Arcanomancer	4	16	16	19	7	7	10
	7,057	1,06	Adventure	Leader	3	Draconic Deity	4	19	19	22	7	7	10
	7,058	1,061	Adventure	Life	3	Horn of Life	3	0	3	5	20	23	25
	7,059	1,062	Adventure	Love	3	Adopted Monster	3	11	14	16	6	9	11
	7,06	1,063	Adventure	Madness	3	Mimic	4	17	17	20	8	8	11
	7,061	1,064	Adventure	Magic	3	Magical Mayhem	3	10	13	15	5	8	10
	7,062	1,065	Adventure	Martial Arts	3	Monk	3	12	15	17	6	9	11
	7,063	1,066	Adventure	Medieval	3	Crusader	4	13	13	16	12	12	15
	7,064	1,067	Adventure	Metal	3	Arcanomancer	4	16	16	19	7	7	10
	7,065	1,068	Adventure	Mind Control	3	Adopted Monster	3	11	14	16	6	9	11
	7,066	1,069	Adventure	Miniature	3	Adopted Monster	3	11	14	16	6	9	11
	7,067	1,07	Adventure	Monkey	3	Familiar Companions	3	3	6	8	15	18	20
	7,068	1,071	Adventure	Monster	3	Adopted Monster	3	11	14	16	6	9	11
	7,069	1,072	Adventure	Moon	3	Gothic Horror	4	12	12	15	9	9	12
	7,07	1,073	Adventure	Multiples	3	Draconic Deity	4	19	19	22	7	7	10
	7,071	1,074	Adventure	Music	3	Bard	3	12	15	17	8	11	13
	7,072	1,075	Adventure	Mutation	3	Mimic	4	17	17	20	8	8	11
	7,073	1,076	Adventure	Myth	3	Draconic Deity	4	19	19	22	7	7	10
	7,074	1,077	Adventure	New Years	3	Healthy Toast	3	3	6	8	16	19	21
	7,075	1,078	Adventure	Parasite	3	Loot Hoarder	4	18	18	21	6	6	9
	7,076	1,079	Adventure	Pirate	3	Planar Privateer	3	19	22	24	1	4	6
	7,077	1,08	Adventure	Plant	3	The Brown Druid	4	15	15	18	10	10	13
	7,078	1,081	Adventure	Pocket Pet	3	Familiar Companions	3	3	6	8	15	18	20
	7,079	1,082	Adventure	Poison	3	Loot Hoarder	4	18	18	21	6	6	9
	7,08	1,083	Adventure	Portal	3	War Vortex	3	17	20	22	0	3	5
	7,081	1,084	Adventure	Precious Ring Lore	3	Smug	4	15	15	18	10	10	13
	7,082	1,085	Adventure	Prehistoric	3	Dino Park	4	14	14	17	10	10	13
	7,083	1,086	Adventure	Psychic	3	Planar Privateer	3	19	22	24	1	4	6
	7,084	1,087	Adventure	Radiation	3	Arcanomancer	4	16	16	19	7	7	10
	7,085	1,088	Adventure	Rainbow	3	Draconic Deity	4	19	19	22	7	7	10
	7,086	1,089	Adventure	Relic	3	Arcanomancer	4	16	16	19	7	7	10
	7,087	1,09	Adventure	Reptile	3	Draconic Deity	4	19	19	22	7	7	10
	7,088	1,091	Adventure	Robot	3	Arcanomancer	4	16	16	19	7	7	10
	7,089	1,092	Adventure	Rodent	3	Nightmarish Swarms	3	14	17	19	5	8	10
	7,09	1,093	Adventure	Royal Game	3	Fat King	4	18	18	21	6	6	9
	7,091	1,094	Adventure	Royalty	3	Lycan King	4	16	16	19	8	8	11
	7,092	1,095	Adventure	Sci-Fi	3	Planar Privateer	3	19	22	24	1	4	6
	7,093	1,096	Adventure	Science	3	Arcanomancer	4	16	16	19	7	7	10
	7,094	1,097	Adventure	Shrine	3	Submerged Shrine	3	9	12	14	7	10	12
	7,095	1,098	Adventure	Sidekick	3	Loot Hoarder	4	18	18	21	6	6	9
	7,096	1,099	Adventure	Sleep	3	Nightmarish Swarms	3	14	17	19	5	8	10
	7,097	1,1	Adventure	Snake	3	Nightmarish Swarms	3	14	17	19	5	8	10
	7,098	1,101	Adventure	Space	3	Planar Privateer	3	19	22	24	1	4	6
	7,099	1,102	Adventure	Speed	3	Bear Owl	4	14	14	17	10	10	13
	7,1	1,103	Adventure	Spirit	3	Gothic Horror	4	12	12	15	9	9	12
	7,101	1,104	Adventure	Sports	3	Barbarian	4	17	17	20	8	8	11
	7,102	1,105	Adventure	Spy	3	Scouting Party	3	18	21	23	2	5	7
	7,103	1,106	Adventure	Strength	3	Loot Hoarder	4	18	18	21	6	6	9
	7,104	1,107	Adventure	Summertide	3	The Great Outdoors	4	16	16	19	10	10	13
	7,105	1,108	Adventure	Sun	3	Paladin	3	7	10	12	10	13	15
	7,106	1,109	Adventure	Superhero	3	Demon Hero	4	14	14	17	10	10	13
	7,107	1,11	Adventure	Sweets	3	The Party	4	3	3	6	19	19	22
	7,108	1,111	Adventure	Sword	3	Loot Hoarder	4	18	18	21	6	6	9
	7,109	1,112	Adventure	The Chosen One	3	Arcanomancer	4	16	16	19	7	7	10
	7,11	1,113	Adventure	Time	3	Arcanomancer	4	16	16	19	7	7	10
	7,111	1,114	Adventure	Toy	3	Monster Collector	4	14	14	17	10	10	13
	7,112	1,115	Adventure	Tree	3	Bear Owl	4	14	14	17	10	10	13
	7,113	1,116	Adventure	Trident	3	Submerged Shrine	3	9	12	14	7	10	12
	7,114	1,118	Adventure	Turtle	3	Turtle Sorcerer	4	13	13	16	10	10	13
	7,115	1,119	Adventure	Undead	3	Gothic Horror	4	12	12	15	9	9	12
	7,116	1,12	Adventure	Underground	3	Mimic	4	17	17	20	8	8	11
	7,117	1,121	Adventure	Underwater	3	Submerged Shrine	3	9	12	14	7	10	12
	7,118	1,122	Adventure	Vampire	3	Gothic Horror	4	12	12	15	9	9	12
	7,119	1,123	Adventure	Vehicle	3	Planar Privateer	3	19	22	24	1	4	6
	7,12	1,124	Adventure	Viking	3	Debilitating Injury	3	8	11	13	9	12	14
	7,121	1,125	Adventure	Villain	3	Draconic Deity	4	19	19	22	7	7	10
	7,122	1,126	Adventure	Void	3	Planar Privateer	3	19	22	24	1	4	6
	7,123	1,128	Adventure	Water	3	Submerged Shrine	3	9	12	14	7	10	12
	7,124	1,129	Adventure	Water Serpent	3	Submerged Shrine	3	9	12	14	7	10	12
	7,125	1,13	Adventure	Wealth	3	Mimic	4	17	17	20	8	8	11
	7,126	1,131	Adventure	Weapon	3	Demonic Fighter	3	13	16	18	7	10	12
	7,127	1,132	Adventure	Werewolf	3	Gothic Horror	4	12	12	15	9	9	12
	7,128	1,133	Adventure	Jungle	3	Doom Temple	3	15	18	20	4	7	9
	7,129	1,134	Adventure	Wind	3	Bear Owl	4	14	14	17	10	10	13
	7,13	1,135	Adventure	Wings	3	Bear Owl	4	14	14	17	10	10	13
	7,131	1,136	Adventure	Wintertide	3	Stone Hearth	4	3	3	6	20	20	23
	7,132	1,137	Adventure	Wizard	3	The Party	4	3	3	6	19	19	22
	7,133	1,138	Adventure	Wizarding School	3	Nerdy Wizard	4	13	13	16	12	12	15
	7,134	1,139	Adventure	Wolf	3	Familiar Companions	3	3	6	8	15	18	20
	10,001	2,002	Affliction	Affliction	3	Pestilence	4	15	15	18	8	8	11
	10,002	2,003	Affliction	Angel	3	Blood Angel	4	15	15	18	9	9	12
	10,003	2,004	Affliction	Anger	3	Road Rage	4	13	13	16	8	8	11
	10,004	2,005	Affliction	Apocalypse	3	Zombie Outbreak	4	16	16	19	7	7	10
	10,005	2,006	Affliction	Arachnid	3	Arachne	4	16	16	19	6	6	9
	10,006	2,007	Affliction	Arcade	3	Zombie Outbreak	4	16	16	19	7	7	10
	10,007	2,009	Affliction	Atomic Aftermath	3	Radiation Sickness	3	12	15	17	7	10	12
	10,008	2,01	Affliction	Bat	3	Vampire	1	4	11	13	1	8	10
	10,009	2,011	Affliction	Bear	3	Zombie Bear	4	11	11	14	10	10	13
	10,01	2,012	Affliction	Beauty	3	Sleeping Princess	3	4	7	9	11	14	16
	10,011	2,013	Affliction	Bird	3	Bird Flu	3	12	15	17	8	11	13
	10,012	2,014	Affliction	Blob	3	Mind Slug	4	18	18	21	5	5	8
	10,013	2,015	Affliction	Blood	3	Virus	4	19	19	22	2	2	5
	10,014	2,016	Affliction	Bone	3	Wight	3	8	11	13	8	11	13
	10,015	2,017	Affliction	Camouflage	3	Posession	4	18	18	21	6	6	9
	10,016	2,018	Affliction	Card	3	Scratch Lottery	3	11	14	16	5	8	10
	10,017	2,02	Affliction	Cat	3	Flea	4	13	13	16	11	11	14
	10,018	2,021	Affliction	Celebration	3	Party Animal Albert	4	18	18	21	6	6	9
	10,019	2,022	Affliction	Chinchilla	3	Chinzombie	3	10	13	15	8	11	13
	10,02	2,023	Affliction	Cursed	3	Pestilence	4	15	15	18	8	8	11
	10,021	2,024	Affliction	Darkness	3	Inner Demons	3	11	14	16	7	10	12
	10,022	2,025	Affliction	Death	3	Undead	1	1	8	10	2	9	11
	10,023	2,026	Affliction	Demon	3	Inner Demons	3	11	14	16	7	10	12
	10,024	2,027	Affliction	Desert	3	Desert Pirate	4	16	16	19	5	5	8
	10,025	2,028	Affliction	Destruction	3	Pestilence	4	15	15	18	8	8	11
	10,026	2,029	Affliction	Dog	3	Flea	4	13	13	16	11	11	14
	10,027	2,03	Affliction	Dragon	3	Plague Dragon	4	11	11	14	10	10	13
	10,028	2,031	Affliction	Earth	3	Stonescale	4	8	8	11	16	16	19
	10,029	2,032	Affliction	Elf	3	Demonic Elf	4	18	18	21	6	6	9
	10,03	2,033	Affliction	Energy	3	Sugar Demon	4	18	18	21	7	7	10
	10,031	2,034	Affliction	Extraterrestrial	3	Space Zombie	3	15	18	20	5	8	10
	10,032	2,035	Affliction	Fairy	3	Midsummer Dream	3	16	19	21	3	6	8
	10,033	2,036	Affliction	Fairy Tale	3	Cursed	3	9	12	14	0	3	5
	10,034	2,037	Affliction	Fire	3	Sun Burn	3	12	15	17	4	7	9
	10,035	2,038	Affliction	Fish	3	Tongue Parasite	4	15	15	18	6	6	9
	10,036	2,039	Affliction	Food	3	Cursed Apple	3	13	16	18	4	7	9
	10,037	2,04	Affliction	Future Fight	3	Infernal Warlord	4	20	20	23	4	4	7
	10,038	2,041	Affliction	Galaxy Wars	3	Insidious Emperor	3	10	13	15	8	11	13
	10,039	2,042	Affliction	Giant	3	Zombie Giant	3	12	15	17	5	8	10
	10,04	2,043	Affliction	Golem	3	Stonescale	4	8	8	11	16	16	19
	10,041	2,044	Affliction	Halloween	3	Sugar Demon	4	18	18	21	7	7	10
	10,042	2,045	Affliction	Hammer	3	Cavities	4	16	16	19	7	7	10
	10,043	2,046	Affliction	Healing	3	Doctor	3	8	11	13	8	11	13
	10,044	2,047	Affliction	Holidays	3	Black Friday	4	13	13	16	12	12	15
	10,045	2,048	Affliction	Holy Water	3	Divine Healer	4	4	4	7	19	19	22
	10,046	2,049	Affliction	Hopefulness	3	Relentless Friend	4	8	8	11	16	16	19
	10,047	2,05	Affliction	Horn	3	Plague Dragon	4	11	11	14	10	10	13
	10,048	2,051	Affliction	Horse	3	Pestilence's Horse	3	8	11	13	6	9	11
	10,049	2,052	Affliction	Human	3	Inner Demons	3	11	14	16	7	10	12
	10,05	2,053	Affliction	Hybrid	3	Werebear	4	11	11	14	9	9	12
	10,051	2,054	Affliction	Ice	3	Hypothermia	3	11	14	16	6	9	11
	10,052	2,055	Affliction	Immortality	3	Dorian Gray	3	12	15	17	4	7	9
	10,053	2,056	Affliction	Insect	3	Black Death	4	16	16	19	6	6	9
	10,054	2,057	Affliction	Invention	3	Radiation Sickness	3	12	15	17	7	10	12
	10,055	2,058	Affliction	Knight	3	Undead Knight	3	10	13	15	7	10	12
	10,056	2,059	Affliction	Knowledge	3	Inner Demons	3	11	14	16	7	10	12
	10,057	2,06	Affliction	Leader	3	Pestilence	4	15	15	18	8	8	11
	10,058	2,061	Affliction	Life	3	Virus	4	19	19	22	2	2	5
	10,059	2,062	Affliction	Love	3	Green Eyed Monster	4	18	18	21	5	5	8
	10,06	2,063	Affliction	Madness	3	Clown Toxin	4	17	17	20	8	8	11
	10,061	2,064	Affliction	Magic	3	Voodoo Doll	3	12	15	17	3	6	8
	10,062	2,065	Affliction	Martial Arts	3	Kung Fu Zombie	4	13	13	16	8	8	11
	10,063	2,066	Affliction	Medieval	3	Black Death	4	16	16	19	6	6	9
	10,064	2,067	Affliction	Metal	3	Corrosive Rust	4	13	13	16	10	10	13
	10,065	2,068	Affliction	Mind Control	3	Posession	4	18	18	21	6	6	9
	10,066	2,069	Affliction	Miniature	3	Virus	4	19	19	22	2	2	5
	10,067	2,07	Affliction	Monkey	3	Monkey Planet	4	7	7	10	14	14	17
	10,068	2,071	Affliction	Monster	3	Plague Monstrosity	4	5	5	8	17	17	20
	10,069	2,072	Affliction	Moon	3	Werewolf	1	3	10	12	2	9	11
	10,07	2,073	Affliction	Multiples	3	Zombie Outbreak	4	16	16	19	7	7	10
	10,071	2,074	Affliction	Music	3	Thrilling Zombie	4	14	14	17	7	7	10
	10,072	2,075	Affliction	Mutation	3	Siphoning Belle	4	14	14	17	7	7	10
	10,073	2,076	Affliction	Myth	3	Pandora's Box	4	14	14	17	10	10	13
	10,074	2,077	Affliction	New Years	3	Broken Resolutions	4	11	11	14	13	13	16
	10,075	2,078	Affliction	Parasite	3	Zombie Fungus	4	14	14	17	10	10	13
	10,076	2,079	Affliction	Pirate	3	Greed	4	16	16	19	8	8	11
	10,077	2,08	Affliction	Plant	3	Zombie Fungus	4	14	14	17	10	10	13
	10,078	2,081	Affliction	Pocket Pet	3	Cobramon	4	17	17	20	7	7	10
	10,079	2,082	Affliction	Poison	3	Radiation Sickness	3	12	15	17	7	10	12
	10,08	2,083	Affliction	Portal	3	Teleporter Malfunction	3	9	12	14	6	9	11
	10,081	2,084	Affliction	Precious Ring Lore	3	Wraith Dagger	3	16	19	21	3	6	8
	10,082	2,085	Affliction	Prehistoric	3	Zombiesaur	3	12	15	17	6	9	11
	10,083	2,086	Affliction	Psychic	3	Posession	4	18	18	21	6	6	9
	10,084	2,087	Affliction	Radiation	3	Radiation Sickness	3	12	15	17	7	10	12
	10,085	2,088	Affliction	Rainbow	3	Clown Toxin	4	17	17	20	8	8	11
	10,086	2,089	Affliction	Relic	3	Voodoo Doll	3	12	15	17	3	6	8
	10,087	2,09	Affliction	Reptile	3	Plague Dragon	4	11	11	14	10	10	13
	10,088	2,091	Affliction	Robot	3	Corrosive Rust	4	13	13	16	10	10	13
	10,089	2,092	Affliction	Rodent	3	Black Death	4	16	16	19	6	6	9
	10,09	2,093	Affliction	Royal Game	3	Stonescale	4	8	8	11	16	16	19
	10,091	2,094	Affliction	Royalty	3	The Deranged King	4	12	12	15	11	11	14
	10,092	2,095	Affliction	Sci-Fi	3	Computer Bug	4	18	18	21	4	4	7
	10,093	2,096	Affliction	Science	3	Computer Bug	4	18	18	21	4	4	7
	10,094	2,097	Affliction	Shrine	3	Sakura Spirits	4	9	9	12	12	12	15
	10,095	2,099	Affliction	Sleep	3	Sleeping Princess	3	4	7	9	11	14	16
	10,096	2,1	Affliction	Snake	3	Poison	1	3	10	12	0	7	9
	10,097	2,101	Affliction	Space	3	Space Zombie	3	15	18	20	5	8	10
	10,098	2,102	Affliction	Speed	3	Zombie Outbreak	4	16	16	19	7	7	10
	10,099	2,103	Affliction	Spirit	3	Posession	4	18	18	21	6	6	9
	10,1	2,104	Affliction	Sports	3	Reverse Card	4	22	22	25	0	0	3
	10,101	2,105	Affliction	Spy	3	Viral Agent	4	13	13	16	11	11	14
	10,102	2,106	Affliction	Strength	3	Zombie Tank	3	10	13	15	10	13	15
	10,103	2,107	Affliction	Summertide	3	Brain Freeze	4	20	20	23	5	5	8
	10,104	2,108	Affliction	Sun	3	Sun Burn	3	12	15	17	4	7	9
	10,105	2,109	Affliction	Superhero	3	Sarcastic Hero	4	12	12	15	11	11	14
	10,106	2,11	Affliction	Sweets	3	Cavities	4	16	16	19	7	7	10
	10,107	2,111	Affliction	Sword	3	Sarcastic Hero	4	12	12	15	11	11	14
	10,108	2,112	Affliction	The Chosen One	3	Chudolph the Braindeer	4	15	15	18	10	10	13
	10,109	2,113	Affliction	Time	3	Paradox	4	16	16	19	8	8	11
	10,11	2,114	Affliction	Toy	3	Voodoo Doll	3	12	15	17	3	6	8
	10,111	2,115	Affliction	Tree	3	Mistletoe	3	10	13	15	6	9	11
	10,112	2,116	Affliction	Trident	3	Inner Demons	3	11	14	16	7	10	12
	10,113	2,117	Affliction	Turkey Day	3	Turkey Zombie	4	16	16	19	8	8	11
	10,114	2,118	Affliction	Turtle	3	Stonescale	4	8	8	11	16	16	19
	10,115	2,119	Affliction	Undead	3	Zombie Outbreak	4	16	16	19	7	7	10
	10,116	2,121	Affliction	Underwater	3	Tongue Parasite	4	15	15	18	6	6	9
	10,117	2,122	Affliction	Vampire	3	Bloodlust	3	12	15	17	7	10	12
	10,118	2,123	Affliction	Vehicle	3	Road Rage	4	13	13	16	8	8	11
	10,119	2,124	Affliction	Viking	3	Debilitating Injury	3	8	11	13	9	12	14
	10,12	2,125	Affliction	Villain	3	Clown Toxin	4	17	17	20	8	8	11
	10,121	2,126	Affliction	Void	3	Plague Monstrosity	4	5	5	8	17	17	20
	10,122	2,127	Affliction	War	3	Radiation Sickness	3	12	15	17	7	10	12
	10,123	2,128	Affliction	Water	3	Hypothermia	3	11	14	16	6	9	11
	10,124	2,13	Affliction	Wealth	3	Greed	4	16	16	19	8	8	11
	10,125	2,131	Affliction	Weapon	3	Clown Toxin	4	17	17	20	8	8	11
	10,126	2,132	Affliction	Werewolf	3	Insanity Wolf	3	15	18	20	5	8	10
	10,127	2,133	Affliction	Jungle	3	Forbidden Love	3	13	16	18	6	9	11
	10,128	2,134	Affliction	Wind	3	Radiation Sickness	3	12	15	17	7	10	12
	10,129	2,135	Affliction	Wings	3	Bird Flu	3	12	15	17	8	11	13
	10,13	2,136	Affliction	Wintertide	3	Ice Zombie King	4	14	14	17	7	7	10
	10,131	2,137	Affliction	Wizard	3	Witch Doctor	3	11	14	16	5	8	10
	10,132	2,138	Affliction	Wizarding School	3	Cursed Will	4	16	16	19	7	7	10
	10,133	2,139	Affliction	Wolf	3	Werewolf	1	3	10	12	2	9	11
	47,003	3,003	Angel	Angel	1	Seraphim	3	10	13	15	7	10	12
	47,004	3,004	Angel	Anger	3	Angel of Wrath	3	12	15	17	3	6	8
	47,005	3,005	Angel	Apocalypse	3	Angel of Wrath	3	12	15	17	3	6	8
	47,006	3,006	Angel	Arachnid	3	Arachnid Dudette	4	20	20	23	4	4	7
	47,007	3,007	Angel	Arcade	3	Angel Kid	3	10	13	15	5	8	10
	47,008	3,009	Angel	Atomic Aftermath	3	Angelic Mutant	3	15	18	20	5	8	10
	47,009	3,01	Angel	Bat	1	Underdog Story	3	17	20	22	2	5	7
	47,01	3,011	Angel	Bear	3	Spirit Bear	4	13	13	16	10	10	13
	47,011	3,012	Angel	Beauty	3	Seraphim	3	10	13	15	7	10	12
	47,012	3,013	Angel	Bird	3	Doves	3	6	9	11	9	12	14
	47,013	3,014	Angel	Blob	3	Puff Hero	3	12	15	17	7	10	12
	47,014	3,015	Angel	Blood	3	Blood Angel	4	15	15	18	9	9	12
	47,015	3,017	Angel	Camouflage	3	Crying Angel	4	14	14	17	9	9	12
	47,016	3,018	Angel	Card	3	Trading Card	3	13	16	18	7	10	12
	47,017	3,019	Angel	Cartoon	3	Angel Kid	3	10	13	15	5	8	10
	47,018	3,02	Angel	Cat	3	Griffin	4	12	12	15	10	10	13
	47,019	3,021	Angel	Celebration	3	Angel Food Cake	3	11	14	16	4	7	9
	47,02	3,023	Angel	Cursed	3	Blood Angel	4	15	15	18	9	9	12
	47,021	3,024	Angel	Darkness	3	Mothman	4	13	13	16	10	10	13
	47,022	3,025	Angel	Death	1	Dark Angel	3	10	13	15	6	9	11
	47,023	3,026	Angel	Demon	1	Dark Angel	3	10	13	15	6	9	11
	47,024	3,028	Angel	Destruction	3	Soul Harvester	3	12	15	17	6	9	11
	47,025	3,029	Angel	Dog	3	Heavenly Dog	3	8	11	13	12	15	17
	47,026	3,03	Angel	Dragon	1	Devil	3	10	13	15	7	10	12
	47,027	3,033	Angel	Energy	3	Crying Angel	4	14	14	17	9	9	12
	47,028	3,034	Angel	Extraterrestrial	3	Crying Angel	4	14	14	17	9	9	12
	47,029	3,035	Angel	Fairy	1	Fairy Godmother	3	3	6	8	11	14	16
	47,03	3,036	Angel	Fairy Tale	3	Fairy Godmother	3	3	6	8	11	14	16
	47,031	3,038	Angel	Fish	3	Holy Mackerel	3	7	10	12	9	12	14
	47,032	3,039	Angel	Food	3	Angel Food Cake	3	11	14	16	4	7	9
	47,033	3,04	Angel	Future Fight	3	Angel Of War	4	15	15	18	8	8	11
	47,034	3,041	Angel	Galaxy Wars	3	Space Ghosts	4	0	0	3	21	21	24
	47,035	3,044	Angel	Halloween	3	Scarecrow	4	10	10	13	15	15	18
	47,036	3,045	Angel	Hammer	1	Paladin	3	7	10	12	10	13	15
	47,037	3,046	Angel	Healing	3	Divine Healer	4	4	4	7	19	19	22
	47,038	3,047	Angel	Holidays	3	Snow Angel	3	8	11	13	10	13	15
	47,039	3,049	Angel	Hopefulness	3	Train Doggo	4	17	17	20	7	7	10
	47,04	3,05	Angel	Horn	3	Gabriel's Horn	3	2	5	7	16	19	21
	47,041	3,051	Angel	Horse	1	Pegasus	1	4	11	13	4	11	13
	47,042	3,052	Angel	Human	2	Guardian Angel	3	2	5	7	14	17	19
	47,043	3,053	Angel	Hybrid	3	Nephilim	4	18	18	21	5	5	8
	47,044	3,054	Angel	Ice	3	Snow Angel	3	8	11	13	10	13	15
	47,045	3,056	Angel	Insect	3	Praying Mantis	3	12	15	17	7	10	12
	47,046	3,057	Angel	Invention	3	Angel Food Cake	3	11	14	16	4	7	9
	47,047	3,058	Angel	Knight	2	Arch Angel	3	9	12	14	9	12	14
	47,048	3,059	Angel	Knowledge	2	Angel of Wisdom	3	8	11	13	12	15	17
	47,049	3,06	Angel	Leader	3	Angel of Valor	4	15	15	18	10	10	13
	47,05	3,061	Angel	Life	3	Guardian Angel	3	2	5	7	14	17	19
	47,051	3,062	Angel	Love	3	Cupid	4	20	20	23	4	4	7
	47,052	3,063	Angel	Madness	3	Blood Angel	4	15	15	18	9	9	12
	47,053	3,065	Angel	Martial Arts	3	Angel Kid	3	10	13	15	5	8	10
	47,054	3,066	Angel	Medieval	3	Seraphim	3	10	13	15	7	10	12
	47,055	3,068	Angel	Mind Control	3	Angelic Mutant	3	15	18	20	5	8	10
	47,056	3,069	Angel	Miniature	3	Conscience	3	13	16	18	7	10	12
	47,057	3,07	Angel	Monkey	3	Flying Monkey	3	13	16	18	4	7	9
	47,058	3,071	Angel	Monster	3	Crying Angel	4	14	14	17	9	9	12
	47,059	3,072	Angel	Moon	3	Moon Goddess	3	13	16	18	7	10	12
	47,06	3,073	Angel	Multiples	3	Seraphim	3	10	13	15	7	10	12
	47,061	3,074	Angel	Music	3	Angel Trumpeter	3	6	9	11	10	13	15
	47,062	3,075	Angel	Mutation	3	Angelic Mutant	3	15	18	20	5	8	10
	47,063	3,076	Angel	Myth	3	Cupid	4	20	20	23	4	4	7
